badge_base,max_level
Middle of the Road,76
99 Bottles,73
Brewery Pioneer,61
Draft City,48
Das Boot,48
Verified Adventure,39
Riding Steady,39
Belgian Holiday,35
Untappd at Home,34
Hopped Down,31
Wheel of Styles,27
I Believe in IPA!,24
Beer of the World,17
Lager Jack,16
"Dubbel, Tripel and Quad Oh My!",16
For the Can,15
Bar Explorer,14
Going Dutch,12
Sky's the Limit,10
Haze for Days,10
Fruits of Your Labor,10
Fields of Gold,10
La Crème de la Crème,9
Photogenic Brew,8
"Wit, Weiss, and Weizen",7
Pucker Up,7
Iron Man,7
Hella Delicious!,7
New Brew Thursday,6
Heavy Weight,6
Crisp as Day,6
Beer Foodie,6
2X,6
Cheers to Independent U.S. Craft Breweries,5
Better Together,5
Beer Connoisseur,5
Trekking the Alps,4
The RADler,4
Pale as the Moon,4
Low Gravity,4
God Save the King,4
Brew Traveler,4
Beyond a Shadow of a Stout,4
Winter Wonderland,3
Tripping on TIPAs,3
Trappist Travesty,3
Tower of Beer,3
Heffenista,3
Zwickel City,2
Ye Olde Pub,2
The Dark Side,2
Silence of the Lambics,2
Respect the Kölsch,2
Paint the Town Red,2
Oktoberfest,2
Land of the Free,2
Hopped Up,2
Flamenco,2
