id,beer_name,brewery,style,venue,city,country,lat,lon,serving_type,checkin_date,year,month,year_month,weekday
1,Münchner Hell,Paulaner Brauerei,Lager/Pils,,,,,,,2026-02-21,2026,02,2026-02,Saturday
2,Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier,Paulaner Brauerei,Wheat Beer,L’Osteria,,,,,,2026-02-21,2026,02,2026-02,Saturday
3,I Lost My Heart In Oregon - Spezialsud #29,Eremita Braukunst,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-02-21,2026,02,2026-02,Saturday
4,In Bloom,Eremita Braukunst,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-02-21,2026,02,2026-02,Saturday
5,Fledermausland,Eremita Braukunst,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-02-21,2026,02,2026-02,Saturday
6,Fernweh Hazy IPA Spezialsud #24,Eremita Braukunst,NEIPA/Hazy IPA,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-02-21,2026,02,2026-02,Saturday
7,Kozel Světlý / Kozel 10,Pivovar Velké Popovice,Other,,,,,,,2026-02-21,2026,02,2026-02,Saturday
8,NIJPA,Brouwerij 't IJ,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-02-20,2026,02,2026-02,Friday
9,Baltic Tripel,Rügener Insel-Brauerei,Tripel,,,,,,,2026-02-19,2026,02,2026-02,Thursday
10,NEIPA,Brand Bierbrouwerij,NEIPA/Hazy IPA,,,,,,,2026-02-16,2026,02,2026-02,Monday
11,Somersby Winter Cider Apple & Cinnamon,Carlsberg Group,Cider,,,,,,,2026-02-16,2026,02,2026-02,Monday
12,Mönchshof Natur Radler,Kulmbacher Brauerei,Radler/Malt,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-02-16,2026,02,2026-02,Monday
13,Pélican Rouge,Brasserie du Pélican,Amber/Red,Restaurant Au Bercail,Florenville,BE,49.7025,5.891,,2026-02-14,2026,02,2026-02,Saturday
14,Affligem Blanche,Affligem Brouwerij,Blonde/Golden,Restaurant Au Bercail,Florenville,BE,49.7025,5.891,,2026-02-14,2026,02,2026-02,Saturday
15,Fischer Doreleï Bière Ambrée D'Alsace,Heineken France,Amber/Red,,,,,,,2026-02-14,2026,02,2026-02,Saturday
16,Askania,Brasserie Champigneulles,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-02-12,2026,02,2026-02,Thursday
17,Bon Secours Myrtille,Brasserie Caulier,Other,Le Chardon Bleu,Valmeinier,FR,45.1836,6.497,,2026-02-12,2026,02,2026-02,Thursday
18,Oh Yes,Gwape,Other,Le Chardon Bleu,Valmeinier,FR,45.1836,6.497,,2026-02-12,2026,02,2026-02,Thursday
19,2600 M,Gwape,Other,Le Chardon Bleu,Valmeinier,FR,45.1836,6.497,,2026-02-12,2026,02,2026-02,Thursday
20,La Cristal IPA,Brasserie du Mont Blanc,IPA,Valmeinier 1800,Valmeinier,FR,45.1835,6.4967,,2026-02-11,2026,02,2026-02,Wednesday
21,Fram Bush,Brasserie Dubuisson,Other,Télésiège Les Jeux,Valmeinier,FR,45.186,6.501,,2026-02-11,2026,02,2026-02,Wednesday
22,India Pale Ale,Gwape,IPA,Télésiège Les Jeux,Valmeinier,FR,45.186,6.501,,2026-02-11,2026,02,2026-02,Wednesday
23,Stella Artois,Stella Artois,Other,,,,,,,2026-02-11,2026,02,2026-02,Wednesday
24,La Verte,Brasserie du Mont Blanc,Other,,,,,,,2026-02-11,2026,02,2026-02,Wednesday
25,Bird of Prey,Uiltje Brewing Company,Other,Le Panoramic,Valmeinier,FR,45.184,6.5,,2026-02-11,2026,02,2026-02,Wednesday
26,1500m - Mountain Pale Ale,Gwape,Pale Ale,Le Marmiton,Valmeinier,FR,45.1838,6.4977,,2026-02-11,2026,02,2026-02,Wednesday
27,Slash Citrus,Brasserie Licorne,Other,,,,,,,2026-02-10,2026,02,2026-02,Tuesday
28,Slash Mango,Brasserie Licorne,Other,,,,,,,2026-02-10,2026,02,2026-02,Tuesday
29,Pêche Mel Bush,Brasserie Dubuisson,Other,,,,,,,2026-02-10,2026,02,2026-02,Tuesday
30,Paix Dieu Triple,Brasserie Caulier,Tripel,Le Panoramic,Valmeinier,FR,45.184,6.5,,2026-02-10,2026,02,2026-02,Tuesday
31,Sas Pils,Leroy Breweries,Lager/Pils,La Glisse,Valmeinier,FR,45.1836,6.497,,2026-02-10,2026,02,2026-02,Tuesday
32,Slash Mango,Brasserie Licorne,Other,Le Refuge,Valmeinier,FR,45.1835,6.4967,,2026-02-09,2026,02,2026-02,Monday
33,El Grande,Brasserie Licorne,Other,,,,,,,2026-02-09,2026,02,2026-02,Monday
34,La Goudale - Blonde à l'Ancienne,Brasserie Goudale,Blonde/Golden,,,,,,,2026-02-09,2026,02,2026-02,Monday
35,Matchut,Brasserie Galibier,Other,La Gwape,Valmeinier,FR,45.1835,6.4967,,2026-02-09,2026,02,2026-02,Monday
36,Avalanche,Brasserie Galibier,Other,La Gwape,Valmeinier,FR,45.1835,6.4967,,2026-02-09,2026,02,2026-02,Monday
37,Snowball Lager,Brasserie Galibier,Lager/Pils,,,,,,,2026-02-09,2026,02,2026-02,Monday
38,India Pale Ale,Gwape,IPA,La Glisse,Valmeinier,FR,45.1836,6.497,,2026-02-09,2026,02,2026-02,Monday
39,Querelle De Clochers,Gwape,Other,Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,,2026-02-08,2026,02,2026-02,Sunday
40,Pinks Not Dead,Gwape,Other,Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,,2026-02-08,2026,02,2026-02,Sunday
41,Koenigsbier Forte,Karlsberg Brauerei,Other,Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,,2026-02-08,2026,02,2026-02,Sunday
42,Saer Bräu,H-West B.V.,Other,Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,,2026-02-08,2026,02,2026-02,Sunday
43,Pélican – Blonde de Caractère,Brasserie du Pélican,Blonde/Golden,Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,,2026-02-08,2026,02,2026-02,Sunday
44,India Pale Ale,Gwape,IPA,,,,,,,2026-02-08,2026,02,2026-02,Sunday
45,Gallia Nouveau Western IPA,Gallia,IPA,Valmeinier 1800,Valmeinier,FR,45.1835,6.4967,,2026-02-08,2026,02,2026-02,Sunday
46,Douce Prohibition,Gwape,Other,,,,,,,2026-02-07,2026,02,2026-02,Saturday
47,Oh Yes,Gwape,Other,Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,,2026-02-07,2026,02,2026-02,Saturday
48,2600 M,Gwape,Other,,,,,,,2026-02-07,2026,02,2026-02,Saturday
49,Amber Ale,Gwape,Amber/Red,,,,,,,2026-02-07,2026,02,2026-02,Saturday
50,1500m - Mountain Pale Ale,Gwape,Pale Ale,Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,,2026-02-07,2026,02,2026-02,Saturday
51,ALL I WANT FOR CHRISTMAS IS KLOUG - Tarte De Linz Style,Brasserie Sainte Cru,Other,,,,,,,2026-02-07,2026,02,2026-02,Saturday
52,Don Ancho,Savoy Craft,Other,,,,,,,2026-02-07,2026,02,2026-02,Saturday
53,Lost In the Woods,Sapaudia Brewing Co,Other,,,,,,,2026-02-07,2026,02,2026-02,Saturday
54,Paix Dieu Triple,Brasserie Caulier,Tripel,,,,,,,2026-02-06,2026,02,2026-02,Friday
55,Leffe Rituel 9°,Abbaye de Leffe,Other,,,,,,,2026-02-06,2026,02,2026-02,Friday
56,Bush Blonde Triple,Brasserie Dubuisson,Tripel,,,,,,,2026-02-06,2026,02,2026-02,Friday
57,Mylar Dust,Other Half Brewing Co.,Other,,,,,,,2026-02-05,2026,02,2026-02,Thursday
58,"NORTHERN STAR™ // CHOCOLATE, CARAMEL & BISCUIT PORTER",Northern Monk,Stout/Porter,,,,,,,2026-02-05,2026,02,2026-02,Thursday
