venue,city,country,lat,lon,visits
Untappd at Home,Aachen,DE,50.7753,6.0839,165
Hopfen+Malz,Aachen,DE,50.7766,6.0834,135
The Wingman,Aachen,DE,50.7755,6.0855,20
Holy Craft Beer Bar,Nürnberg,DE,49.4551,11.0762,15
Sowiso & Ocean,Aachen,DE,50.7755,6.0845,13
Delirium Café Köln,Köln,DE,50.9394,6.9592,12
BierMuseum,Köln,DE,50.9383,6.9616,10
Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,7
Café Einstein,Aachen,DE,50.7751,6.0838,7
Mel's Craft Beer Bar & Diner,Aachen,DE,50.775,6.0835,6
Café & Bar zuhause,Aachen,DE,50.7753,6.0839,6
5 Points Pub,Aachen,DE,50.7748,6.0828,5
Sturmfrei,Aachen,DE,50.776,6.084,4
Papillon,Aachen,DE,50.7752,6.083,4
Live Music Hall,Köln,DE,50.9368,6.9563,4
Egmont,Aachen,DE,50.7758,6.0842,4
Le Panoramic,Valmeinier,FR,45.184,6.5,4
La Gwape,Valmeinier,FR,45.1835,6.4967,4
Dadawan Kerkrade,Kerkrade,NL,50.8665,6.0598,4
L'Osteria,Aachen,DE,50.7762,6.0866,3
Haus Kattwinkel,Aachen,DE,50.7748,6.0812,3
Valmeinier 1800,Valmeinier,FR,45.1835,6.4967,3
La Glisse,Valmeinier,FR,45.1836,6.497,3
Chalet Chatel,Châtel,FR,46.2656,6.8369,3
Le Chalet Alsacien,Châtel,FR,46.266,6.838,2
Chalet L'experimentale,Châtel,FR,46.265,6.8355,2
Tijuana Aachen,Aachen,DE,50.776,6.085,2
Xiao,Aachen,DE,50.7757,6.0843,2
Schlösser Zelt,Düsseldorf,DE,51.2197,6.7928,2
Prater Alm,Salzburg,AT,47.8095,13.055,2
Plachutta,Wien,AT,48.2082,16.3738,2
Boscafé 't Hijgend Hert,Maastricht,NL,50.8666,5.7021,2
Belgisch Bier Cafe Belvedere,Liège,BE,50.8503,5.6886,2
Balneario B11,Madrid,ES,40.4168,-3.7038,2
Restaurant Au Bercail,Florenville,BE,49.7025,5.891,2
Smashup! am Dom,Köln,DE,50.9413,6.9583,1
