beer_name,brewery,style,times_drunk
Paix Dieu Triple,Brasserie Caulier,Tripel,5
Barista Chocolate Quad,Kasteel Brouwerij Vanhonsebrouck,Quadrupel,3
Bush Blonde Triple,Brasserie Dubuisson,Tripel,3
Füchschen Alt,Brauerei im Füchschen,Altbier,3
Hofbräu Oktoberfestbier,Staatliches Hofbräuhaus München,Bock/Märzen,3
India Pale Ale,Gwape,IPA,3
Krönes' Eifeler Landbier,Gemünder Brauerei,Other,3
Leffe Blonde / Blond,Abbaye de Leffe,Blonde/Golden,3
Leffe Rituel 9°,Abbaye de Leffe,Other,3
1500m - Mountain Pale Ale,Gwape,Pale Ale,2
2600 M,Gwape,Other,2
Agasse,La Cahute,Other,2
Astra Rakete,Holsten-Brauerei,Other,2
Avalanche,Brasserie Galibier,Other,2
Bavaria 0.0% IPA,Royal Swinkels,Non-Alcoholic,2
Bitburger Premium Pils,Bitburger Brauerei,Lager/Pils,2
Blueprints: Microscope,Moersleutel Craft Brewery,Other,2
Bush Amber Ruée,Brasserie Dubuisson,Amber/Red,2
Caramel Fudge Stout,Brouwerij Kees,Stout/Porter,2
Gaffel Kölsch,Privatbrauerei Gaffel Becker,Kölsch,2
