brewery,checkins,unique_beers
Kasteel Brouwerij Vanhonsebrouck,14,11
Gwape,13,8
Krombacher Gruppe,11,11
Bitburger Brauerei,10,10
Põhjala,9,8
Delirium - Huyghe Brewery,9,8
Brauerei Kunmüller,9,9
Yankee & Kraut,8,7
Schwarze Rose,8,7
Brasserie Caulier,8,4
Bierbrouwerij De Koningshoeven,8,7
Totenhopfen Brauhaus,7,7
Brauerei Gebr. Maisel,7,7
Brasserie Grain d'Orge,7,7
Brasserie Dubuisson,7,5
Abbaye de Leffe,7,3
Privatbrauerei Gaffel Becker,6,4
Netto Marken-Discount,6,6
Hopfen+Malz,6,6
Guinness,6,5
Brasserie d'Achouffe,6,5
Staatliches Hofbräuhaus München,5,3
Rügener Insel-Brauerei,5,5
