venue,city,country,lat,lon,visits
Untappd at Home,Aachen,DE,50.7753,6.0839,165
Hopfen+Malz,Aachen,DE,50.7766,6.0834,135
The Wingman,Aachen,DE,50.7755,6.0855,20
Holy Craft Beer Bar,Nürnberg,DE,49.4551,11.0762,15
Sowiso & Ocean,Aachen,DE,50.7755,6.0845,13
Delirium Café Köln,Köln,DE,50.9394,6.9592,12
BierMuseum,Köln,DE,50.9383,6.9616,10
Valmeinier Chalet C11,Valmeinier,FR,45.1835,6.4967,7
Café Einstein,Aachen,DE,50.7751,6.0838,7
Mel's Craft Beer Bar & Diner,Aachen,DE,50.775,6.0835,6
Café & Bar zuhause,Aachen,DE,50.7753,6.0839,6
5 Points Pub,Aachen,DE,50.7748,6.0828,5
Sturmfrei,Aachen,DE,50.776,6.084,4
Papillon,Aachen,DE,50.7752,6.083,4
Live Music Hall,Köln,DE,50.9368,6.9563,4
Egmont,Aachen,DE,50.7758,6.0842,4
Le Panoramic,Valmeinier,FR,45.184,6.5,4
La Gwape,Valmeinier,FR,45.1835,6.4967,4
Dadawan Kerkrade,Kerkrade,NL,50.8665,6.0598,4
Café Faulenzer,None,None,,, 3
